sigma,kappa,reference,input_rate,avg_consensus_tps,avg_consensus_latency_ms
1,1,1,100000,89430.33333333333,990.3333333333334
1,1,4,100000,89340.66666666667,979.3333333333334
1,1,7,100000,89396.66666666667,996.3333333333334
1,1,10,100000,89214.33333333333,993.3333333333334
1,2,1,100000,91504.66666666667,1310.3333333333333
1,2,4,100000,91098.66666666667,1159.6666666666667
1,2,7,100000,91129.0,1170.3333333333333
1,2,10,100000,91322.0,1174.3333333333333
1,3,1,100000,92918.33333333333,1352.3333333333333
1,3,4,100000,94092.5,1332.0
1,3,7,100000,92761.0,1372.0
1,3,10,100000,93279.0,1347.0
1,4,1,100000,93241.33333333333,1617.0
1,4,4,100000,93135.33333333333,1402.6666666666667
1,4,7,100000,93610.33333333333,1689.6666666666667
1,4,10,100000,93152.66666666667,1611.0
2,1,1,100000,89468.33333333333,950.0
2,1,4,100000,89654.66666666667,788.3333333333334
2,1,7,100000,89591.33333333333,764.0
2,1,10,100000,89384.0,1008.3333333333334
2,2,1,100000,91858.66666666667,1073.0
2,2,4,100000,91541.33333333333,1011.0
2,2,7,100000,92888.33333333333,1042.3333333333333
2,2,10,100000,92511.33333333333,1126.3333333333333
2,3,1,100000,92245.0,1267.3333333333333
2,3,4,100000,92899.66666666667,1044.6666666666667
2,3,7,100000,93340.66666666667,1170.3333333333333
2,3,10,100000,93287.0,1235.0
2,4,1,100000,93449.66666666667,1428.0
2,4,4,100000,94985.66666666667,1199.0
2,4,7,100000,94357.33333333333,1431.0
2,4,10,100000,94290.33333333333,1382.6666666666667
